1H;1st Half
24/7;24 hours a day, seven days a week
80/20;for many events, roughly 80% of the effects come from 20% of the causes
ADR;American Depositary Receipt
AI;Artificial Intelligence
AM;Account manager
AOP;Adjusted Operating Profit
AOP;Annual Operating Plan
AP;Accounts payable
AR;Accounts receivable
ARPU;Average revenue per user
ASP;Average selling price
ASAP;As soon as possible
agcy.;Agency
agt.;Agent
asst.;Assistant
a/c.;Account
afaik.;As far as I know
BAU;Business As Usual
BEP;Break Even Point
BIC;Bank Identifier Code
bldg.;Building
BLS;Balance Sheet
BMC;Business Model Canvas
BOM;Bill of Materials
BPO;Business Process Outsourcing
BPR;Brief Project Report
BPV;Bank Payment Voucher
BRD;Business Requirements Document
BRU;Business Recovery Unit
BRV;Bank Receipt Voucher
BTW;By the way
B2B;Business-to-business
B2C;Business to Consumer
B2G;Business-to-government
BU;Business Unit
BUSI;Business
bus.;Business
CAGR;Compound annual growth rate
CAO;Chief Administrative Officer or Chief Accounting Officer
CAPEX;Capital Expenditure
CAPM;Capital asset pricing model
CBOE;Chicago Board Options Exchange
CBOT;Chicago Board of Trade
CDO;Collateralized debt obligation or Chief Data Officer
CDM;Change and Data Management
CDS;Credit default swap
CEO;Chief executive officer
COA;Chart of Account
CFA;Chartered Financial Analyst
CFD;Contract for difference
CFC;Consumption of fixed capital
CFCT;Cash Flow Cycle Time
CFM;Certified Financial Manager
CFO;Chief Financial Officer
CFS;Consolidated Financial Statement
CIA;Certified Internal Auditor
CIF;Cost Insurance With Freight
CIMA;Chartered Institute of Management Accountants
CIO;Chief Information Officer, Chief Innovation Officer or Chief Investment Officer
CIP;Carriage and Insurance Paid
CISA;Certified Information Systems Auditor
CISO;Chief Information Security Officer
CLO;Chief Legal Officer
CMA;Certified Management Accountant
CMFB;Committee on monetary, finance and balance of payments statistics
CMO;Chief Marketing Officer
COB;Close of Business
COC;Cost of Credit or Cost of Capital
COD;Cost of Debt[4] or Cash on Delivery
COE;Center of Excellence or Cost of Equity
COGS;Cost of Goods Sold
Corp.;Corporation
COO;Chief Operating Officer
CPA;Certified Public Accountant
CPI;Consumer Price Index
CPO;Chief People Officer also Chief Procurement Officer
CPQ;Configure, Price, Quote
CPU;Central Processing Unit
CSI;Corporate Social Investment
CSO;Chief Security Officer
CSR;Corporate social responsibility
CRM;Customer Relationship Management
CVP;Cost Volume Profit
CTA;Call to action
CTO;Chief Technology Officer
CX;Customer Experience
CXO;Any chief officer(s), x being a placeholder.
C2B;Consumer-to-business
C&F;Cost With Freight
CKM;Customer Knowledge Management
CTC;Cost to company
CUSIP number;Committee on Uniform Security Identification Procedures number
Cr;Credit
CA;Current account (disambiguation)Current Account
DDA;Depletion Depreciation Amortization
Dept.;Department
DI;Dispatch information
DIFOT;Delivery in full on time, a variant of On Time In Full
Dir;Director
disc.;Discount
DMA;Direct market access
DOE;Depending on Experience
DPO;Days Payable Outstanding
DR;Depositary receipt
DSO;Days Sales Outstanding
DSP;Delivery service provider
DTP- Desktop Publishing
DVP;Delivery versus payment
EAR;Effective annual rate
EAY;Effective Annual Yield
EBITA;Earnings before interest and taxes and amortization
EBITDA;Earnings before Interest, Taxes, Depreciation, and Amortization
ECB;European Central Bank
ECS;Electronic Clearing Service or Electronic Clearing System
EDI;Electronic Data Interchange
EFSM;European Financial Stabilisation Mechanism
EFTPOS;Electronic Funds Transfer at Point of Sale
EPS;Earnings per share
EXP;Export
EOB;End of business
EOD;End of day
EOM;End of Message
ERP;Enterprise Resource Planning
ETA;Estimated Time of Arrival
ETD;Estimated Time of Departure or Estimated Time of Delivery
EMI;Equated Monthly Installment
EPC;Export Promotion Council
ECGC;Export Credit Guarantee Corporation of India
EXW;Ex Works
FAB;Feature Advantage Benefits
FDP;Finance Department
FOB;Freight On Board
FIFO;First In, First Out
FinMin;Finance Minister
Fin Min;Finance Minister
FL;Financial leverage
FOMC;Federal Open Market Committee
FP&A;Financial Planning & Analysis
FPO;Follow on public offer
FIX;Financial Information Exchange
FSA;Financial Services Authority
FTE- Full Time Equivalent
FV;Future Value
FX;Foreign exchange market
FY;Fiscal year or Financial year
FYA;For Your Action
FYI;For Your Information
FOC;Free Of Cost
F/U;Follow-Up
GAAP;Generally Accepted Accounting Principles
GAAS;Generally Accepted Audit Standards
GDP;Gross Domestic Product
GDPR;General Data Protection Regulation
GDR;Global depository receipt
GFCF;Gross fixed capital formation
GL;General Ledger
GMV;Gross Merchandise Volume
GP;Gross Profit
GPO;Group purchasing organization
GRN;Goods Receipt Note
GRNI;Goods Receipt Not Invoiced
GSV;Gross Sales Value
GVC;Global value chain
GMROII;Gross Margin Return on Inventory Investment
G&A;General and Administration expense. expenditures related to the day-to-day operations of a business.
HMRC;Her Majesty's Revenue and Customs
HP;Hire purchase
HQ;Headquarters
HR;Human Resources
HRD;Human Resource Development
HS Code;Harmonized Commodity Description and Coding System
IAS;International Accounting Standards
IBAN;International Bank Account Number
ICB;Industry Classification Benchmark
ICRM;Innovative Customer Relationship Management
IE;Interest expense
IFRS;International Financial Reporting Standard
